HaploidChromosomeNum = 10
RandomSeed = 0.1
Pop1AvgAlleleFreq = 1
Pop1AvgAlleleFreqStdev = 0
Pop2AvgAlleleFreq = 1
Pop2AvgAlleleFreqStdev = 0
:chr 1	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0748879	1.8722e+06	1	0
2	0.0881627	2.20407e+06	1	0
3	0.129177	3.22942e+06	1	0
4	0.15321	3.83026e+06	1	0
5	0.210572	5.26431e+06	1	0
6	0.400379	1.00095e+07	1	0
7	0.512215	1.28054e+07	1	0
8	0.566743	1.41686e+07	1	0
9	0.618324	1.54581e+07	1	0
10	0.633558	1.58389e+07	1	0
11	0.883445	2.20861e+07	1	0
:chr 2	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.209103	5.22758e+06	1	0
2	0.297479	7.43697e+06	1	0
3	0.527073	1.31768e+07	1	0
4	0.592396	1.48099e+07	1	0
5	0.628854	1.57213e+07	1	0
6	0.657083	1.64271e+07	1	0
7	0.662577	1.65644e+07	1	0
8	0.676862	1.69216e+07	1	0
9	0.731609	1.82902e+07	1	0
10	0.807924	2.01981e+07	1	0
11	0.814506	2.03627e+07	1	0
:chr 3	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0186901	467252	1	0
2	0.266498	6.66244e+06	1	0
3	0.309182	7.72955e+06	1	0
4	0.367069	9.17672e+06	1	0
5	0.397398	9.93495e+06	1	0
6	0.501175	1.25294e+07	1	0
7	0.660328	1.65082e+07	1	0
8	0.76017	1.90042e+07	1	0
9	0.789588	1.97397e+07	1	0
10	0.942784	2.35696e+07	1	0
11	0.96694	2.41735e+07	1	0
:chr 4	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0273419	683548	1	0
2	0.0370651	926628	1	0
3	0.188408	4.71019e+06	1	0
4	0.256756	6.4189e+06	1	0
5	0.287439	7.18597e+06	1	0
6	0.310215	7.75537e+06	1	0
7	0.471351	1.17838e+07	1	0
8	0.472296	1.18074e+07	1	0
9	0.480705	1.20176e+07	1	0
10	0.615963	1.53991e+07	1	0
11	0.662414	1.65603e+07	1	0
:chr 5	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	0.0139352	348379	1	0
2	0.0970223	2.42556e+06	1	0
3	0.229215	5.73038e+06	1	0
4	0.280034	7.00086e+06	1	0
5	0.406173	1.01543e+07	1	0
6	0.565268	1.41317e+07	1	0
